# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;;;;;
# ;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;
# Wahlberechtigte ohne und mit Wahlschein, Wähler/-innen ohne und mit Wahlschein und Wahlbeteiligung nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;
# ;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;
# ;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Wahlberechtigte;Wahlberechtigte ohne Wahlscheinvermerk;Wahlberechtigte mit Wahlscheinvermerk;Wähler/-innen;Wähler/-innen ohne Wahlschein;Wähler/-innen mit Wahlschein;Wahlbeteiligung
BE-O;m;1993 - 1996;16491;13554;2937;10700;7962;2738;64,9
BE-O;m;1988 - 1992;41723;32840;8882;28442;20163;8280;68,2
BE-O;m;1983 - 1987;54440;42406;12034;40079;28861;11218;73,6
BE-O;m;1978 - 1982;53994;42845;11150;40085;29692;10393;74,2
BE-O;m;1973 - 1977;41910;32808;9102;32263;23778;8485;77,0
BE-O;m;1968 - 1972;46755;36301;10454;36552;26808;9745;78,2
BE-O;m;1958 - 1967;96654;72937;23717;74712;52604;22108;77,3
BE-O;m;1948 - 1957;68812;49031;19781;54612;36173;18439;79,4
BE-O;m;1947 und früher;73975;52159;21816;56411;36074;20336;76,3
BE-O;w;Summe;540141;392835;147306;410650;273336;137313;76,0
BE-O;w;1997 - 1999;11396;9174;2222;7956;5885;2071;69,8
BE-O;w;1993 - 1996;18840;14690;4151;12797;8928;3869;67,9
BE-O;w;1988 - 1992;42885;31062;11824;31720;20698;11022;74,0
BE-O;w;1983 - 1987;55844;40730;15114;43345;29257;14089;77,6
BE-O;w;1978 - 1982;49934;37155;12779;39805;27893;11912;79,7
BE-O;w;1973 - 1977;39564;29234;10330;31979;22350;9629;80,8
BE-O;w;1968 - 1972;41319;30649;10671;34045;24099;9947;82,4
BE-O;w;1958 - 1967;96115;68903;27212;75906;50540;25366;79,0
BE-O;w;1948 - 1957;74550;52418;22133;58598;37967;20631;78,6
BE-O;w;1947 und früher;109693;78821;30872;74498;45720;28778;67,9
BE-W;Summe;Summe;1456319;1039217;417102;1099504;710371;389133;75,5
BE-W;Summe;1997 - 1999;42680;35576;7104;29377;22749;6628;68,8
BE-W;Summe;1993 - 1996;66556;52853;13703;44196;31412;12784;66,4
BE-W;Summe;1988 - 1992;117857;88712;29145;82046;54855;27190;69,6
BE-W;Summe;1983 - 1987;115506;85550;29956;86498;58551;27947;74,9
BE-W;Summe;1978 - 1982;104170;80070;24100;79717;57233;22484;76,5
BE-W;Summe;1973 - 1977;87490;69082;18407;66386;49213;17173;75,9
BE-W;Summe;1968 - 1972;110419;83697;26721;88430;63500;24929;80,1
BE-W;Summe;1958 - 1967;275007;198371;76635;214006;142510;71497;77,8
BE-W;Summe;1948 - 1957;205324;134457;70867;159787;93672;66115;77,8
BE-W;Summe;1947 und früher;331311;210847;120463;249061;136676;112385;75,2
BE-W;m;Summe;696510;510466;186044;523924;350356;173568;75,2
BE-W;m;1997 - 1999;20735;17854;2881;13963;11275;2688;67,3
BE-W;m;1993 - 1996;33234;27634;5600;21640;16415;5225;65,1
BE-W;m;1988 - 1992;59051;45667;13384;40184;27698;12487;68,0
BE-W;m;1983 - 1987;57451;43296;14155;42268;29062;13206;73,6
BE-W;m;1978 - 1982;54165;42490;11675;40024;29132;10892;73,9
BE-W;m;1973 - 1977;43802;34238;9564;33108;24185;8923;75,6
