# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;;;;;
# ;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;
# Wahlberechtigte ohne und mit Wahlschein, Wähler/-innen ohne und mit Wahlschein und Wahlbeteiligung nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;
# ;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;
# ;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Wahlberechtigte;Wahlberechtigte ohne Wahlscheinvermerk;Wahlberechtigte mit Wahlscheinvermerk;Wähler/-innen;Wähler/-innen ohne Wahlschein;Wähler/-innen mit Wahlschein;Wahlbeteiligung
BE-W;m;1968 - 1972;57169;44149;13020;44602;32455;12147;78,0
BE-W;m;1958 - 1967;138759;102627;36132;108397;74689;33709;78,1
BE-W;m;1948 - 1957;97317;66005;31312;75025;45813;29212;77,1
BE-W;m;1947 und früher;134826;86506;48321;104712;59631;45081;77,7
BE-W;w;Summe;759809;528751;231058;575580;360015;215565;75,8
BE-W;w;1997 - 1999;21945;17722;4223;15414;11474;3940;70,2
BE-W;w;1993 - 1996;33322;25219;8103;22556;14997;7560;67,7
BE-W;w;1988 - 1992;58806;43045;15761;41862;27158;14704;71,2
BE-W;w;1983 - 1987;58055;42254;15801;44230;29489;14741;76,2
BE-W;w;1978 - 1982;50005;37580;12425;39693;28100;11592;79,4
BE-W;w;1973 - 1977;43688;34844;8843;33278;25027;8250;76,2
BE-W;w;1968 - 1972;53250;39548;13701;43827;31045;12782;82,3
BE-W;w;1958 - 1967;136248;95744;40504;105609;67821;37788;77,5
BE-W;w;1948 - 1957;108007;68452;39555;84762;47859;36903;78,5
BE-W;w;1947 und früher;196484;124342;72142;144349;77044;67305;73,5
BB;Summe;Summe;2051559;1709217;342342;1512145;1184611;327534;73,7
BB;Summe;1997 - 1999;50080;43011;7069;33461;26698;6763;66,8
BB;Summe;1993 - 1996;54184;45624;8560;32922;24732;8190;60,8
BB;Summe;1988 - 1992;100665;86643;14022;63754;50339;13415;63,3
BB;Summe;1983 - 1987;139564;123961;15603;94783;79855;14928;67,9
BB;Summe;1978 - 1982;148021;129301;18720;108358;90447;17911;73,2
BB;Summe;1973 - 1977;127278;111048;16231;95391;79862;15529;74,9
BB;Summe;1968 - 1972;164555;139632;24923;129303;105459;23845;78,6
BB;Summe;1958 - 1967;444484;368102;76382;344593;271515;73078;77,5
BB;Summe;1948 - 1957;359071;287574;71497;283494;215089;68405;79,0
BB;Summe;1947 und früher;463657;374322;89335;326087;240616;85471;70,3
BB;m;Summe;999485;840666;158819;735986;584037;151949;73,6
BB;m;1997 - 1999;26629;23719;2910;17591;14807;2784;66,1
BB;m;1993 - 1996;28617;24402;4216;16734;12700;4033;58,5
BB;m;1988 - 1992;51646;44603;7043;31522;24784;6738;61,0
BB;m;1983 - 1987;71169;63524;7645;46798;39483;7314;65,8
BB;m;1978 - 1982;76395;67419;8976;54227;45639;8588;71,0
BB;m;1973 - 1977;65808;57998;7810;48346;40873;7472;73,5
BB;m;1968 - 1972;82890;71159;11731;63416;52193;11223;76,5
BB;m;1958 - 1967;224944;188543;36401;172303;137476;34827;76,6
BB;m;1948 - 1957;176303;142197;34106;138640;106009;32631;78,6
BB;m;1947 und früher;195085;157104;37981;146410;110072;36338;75,0
BB;w;Summe;1052074;868551;183523;776159;600574;175585;73,8
BB;w;1997 - 1999;23451;19292;4159;15870;11890;3979;67,7
BB;w;1993 - 1996;25566;21222;4344;16188;12032;4156;63,3
BB;w;1988 - 1992;49019;42040;6979;32232;25555;6677;65,8
BB;w;1983 - 1987;68395;60437;7958;47986;40372;7614;70,2
BB;w;1978 - 1982;71627;61882;9744;54131;44808;9323;75,6
BB;w;1973 - 1977;61471;53050;8421;47045;38989;8056;76,5
BB;w;1968 - 1972;81665;68473;13192;65887;53266;12621;80,7
BB;w;1958 - 1967;219540;179559;39981;172290;134039;38251;78,5
BB;w;1948 - 1957;182768;145377;37391;144854;109080;35774;79,3
BB;w;1947 und früher;268572;217218;51354;179676;130543;49133;66,9
MV;Summe;Summe;1324614;1091095;233519;938587;713130;225457;70,9
MV;Summe;1997 - 1999;31103;26696;4407;18785;14530;4255;60,4
MV;Summe;1993 - 1996;39297;33019;6278;22800;16739;6061;58,0
MV;Summe;1988 - 1992;71841;62874;8967;40874;32217;8657;56,9
MV;Summe;1983 - 1987;92930;81121;11809;58785;47384;11402;63,3
MV;Summe;1978 - 1982;92050;82036;10014;60605;50937;9668;65,8
MV;Summe;1973 - 1977;74178;64938;9241;52182;43261;8922;70,3
MV;Summe;1968 - 1972;94600;80131;14469;70397;56428;13970;74,4
MV;Summe;1958 - 1967;277226;226347;50879;208126;159004;49122;75,1
MV;Summe;1948 - 1957;244633;192591;52042;191225;140980;50245;78,2
MV;Summe;1947 und früher;306756;241342;65413;214807;151652;63155;70,0
MV;m;Summe;643660;536449;107211;455435;351925;103510;70,8
MV;m;1997 - 1999;16006;13847;2159;9801;7717;2084;61,2
MV;m;1993 - 1996;21972;19053;2919;12098;9280;2818;55,1
MV;m;1988 - 1992;37531;33207;4324;20830;16655;4175;55,5
MV;m;1983 - 1987;48769;42683;6086;29761;23885;5876;61,0
MV;m;1978 - 1982;48246;42997;5249;31036;25969;5068;64,3
MV;m;1973 - 1977;39804;34794;5010;26794;21956;4837;67,3
MV;m;1968 - 1972;49922;42831;7091;36091;29245;6846;72,3
MV;m;1958 - 1967;137259;113963;23295;101206;78715;22491;73,7
MV;m;1948 - 1957;120868;96041;24827;93398;69428;23970;77,3
MV;m;1947 und früher;123283;97033;26251;94420;69076;25344;76,6
MV;w;Summe;680954;554646;126308;483152;361205;121947;71,0
MV;w;1997 - 1999;15097;12849;2249;8984;6813;2171;59,5
MV;w;1993 - 1996;17324;13965;3359;10702;7459;3243;61,8
MV;w;1988 - 1992;34310;29667;4643;20044;15562;4482;58,4
MV;w;1983 - 1987;44161;38438;5723;29024;23499;5525;65,7
MV;w;1978 - 1982;43804;39038;4765;29568;24968;4601;67,5
MV;w;1973 - 1977;34374;30144;4230;25389;21305;4084;73,9
MV;w;1968 - 1972;44678;37300;7378;34307;27183;7124;76,8
MV;w;1958 - 1967;139968;112384;27584;106921;80289;26632;76,4
MV;w;1948 - 1957;123765;96551;27215;97827;71552;26275;79,0
MV;w;1947 und früher;183472;144309;39163;120387;82576;37811;65,6
SN;Summe;Summe;3329550;2776879;552671;2509684;1977545;532139;75,4
SN;Summe;1997 - 1999;77215;67673;9542;54775;45587;9188;70,9
SN;Summe;1993 - 1996;98838;83179;15659;65795;50718;15077;66,6
SN;Summe;1988 - 1992;211789;176139;35650;148699;114373;34326;70,2
SN;Summe;1983 - 1987;259405;219700;39704;191791;153562;38229;73,9
SN;Summe;1978 - 1982;258041;221076;36964;196767;161176;35591;76,3
SN;Summe;1973 - 1977;214037;185825;28211;166865;139701;27163;78,0
SN;Summe;1968 - 1972;260443;224006;36437;210743;175660;35083;80,9
SN;Summe;1958 - 1967;622825;517812;105012;490392;389281;101111;78,7
SN;Summe;1948 - 1957;556839;454934;101905;439893;341774;98119;79,0
SN;Summe;1947 und früher;770120;626535;143585;543964;405713;138251;70,6
SN;m;Summe;1621196;1365986;255210;1226265;980536;245729;75,6
SN;m;1997 - 1999;39798;35546;4251;28277;24183;4093;71,1
SN;m;1993 - 1996;49403;42762;6641;32094;25700;6394;65,0
SN;m;1988 - 1992;108136;91810;16326;73745;58026;15719;68,2
SN;m;1983 - 1987;136241;116139;20101;98169;78814;19355;72,1
SN;m;1978 - 1982;137858;118883;18975;102538;84268;18270;74,4
SN;m;1973 - 1977;114662;99305;15357;89016;74229;14786;77,6
SN;m;1968 - 1972;136659;118335;18324;108599;90956;17643;79,5
SN;m;1958 - 1967;313992;264724;49268;243601;196163;47438;77,6
SN;m;1948 - 1957;266678;219575;47103;210157;164804;45353;78,8
SN;m;1947 und früher;317770;258907;58863;240069;183393;56676;75,5
SN;w;Summe;1708354;1410893;297461;1283419;997009;286410;75,1
SN;w;1997 - 1999;37417;32126;5291;26498;21404;5094;70,8
SN;w;1993 - 1996;49434;40416;9018;33701;25018;8683;68,2
SN;w;1988 - 1992;103653;84329;19324;74953;56347;18606;72,3
SN;w;1983 - 1987;123164;103561;19603;93622;74748;18874;76,0
SN;w;1978 - 1982;120183;102193;17989;94229;76908;17321;78,4
SN;w;1973 - 1977;99375;86520;12854;77849;65472;12377;78,3
SN;w;1968 - 1972;123784;105671;18113;102144;84704;17440;82,5
SN;w;1958 - 1967;308833;253089;55744;246791;193118;53673;79,9
SN;w;1948 - 1957;290161;235359;54802;229736;176970;52766;79,2
SN;w;1947 und früher;452350;367628;84722;303895;222320;81575;67,2
ST;Summe;Summe;1854891;1617344;237547;1263474;1036747;226727;68,1
ST;Summe;1997 - 1999;40598;36570;4029;25686;21841;3845;63,3
ST;Summe;1993 - 1996;46850;41559;5292;25681;20630;5051;54,8
ST;Summe;1988 - 1992;93428;84141;9287;55835;46971;8864;59,8
ST;Summe;1983 - 1987;121523;109564;11960;76543;65128;11415;63,0
ST;Summe;1978 - 1982;121836;110752;11084;79706;69127;10579;65,4
ST;Summe;1973 - 1977;107405;97758;9648;74401;65192;9208;69,3
ST;Summe;1968 - 1972;150994;135478;15516;109228;94419;14809;72,3
ST;Summe;1958 - 1967;392151;341575;50576;280872;232599;48273;71,6
ST;Summe;1948 - 1957;337340;286347;50993;249754;201083;48671;74,0
ST;Summe;1947 und früher;442765;373602;69163;285769;219757;66013;64,5
ST;m;Summe;898382;793297;105084;611639;511341;100298;68,1
ST;m;1997 - 1999;20835;19284;1551;12782;11301;1481;61,3
ST;m;1993 - 1996;23830;21570;2260;12542;10384;2157;52,6
ST;m;1988 - 1992;49045;44299;4746;27920;23390;4530;56,9
ST;m;1983 - 1987;63526;57631;5895;39322;33696;5626;61,9
ST;m;1978 - 1982;64092;58790;5303;40480;35419;5061;63,2
ST;m;1973 - 1977;55823;51187;4636;37671;33246;4425;67,5
ST;m;1968 - 1972;79629;72315;7314;55502;48521;6981;69,7
ST;m;1958 - 1967;197250;175003;22247;138008;116774;21233;70,0
ST;m;1948 - 1957;162756;139516;23240;120293;98111;22182;73,9
ST;m;1947 und früher;181595;153703;27893;127119;100497;26622;70,0
ST;w;Summe;956509;824047;132463;651835;525406;126429;68,1
ST;w;1997 - 1999;19763;17286;2477;12904;10540;2365;65,3
ST;w;1993 - 1996;23020;19989;3032;13140;10246;2894;57,1
ST;w;1988 - 1992;44382;39842;4540;27915;23581;4333;62,9
ST;w;1983 - 1987;57998;51933;6065;37221;31432;5789;64,2
ST;w;1978 - 1982;57743;51962;5781;39225;33708;5518;67,9
ST;w;1973 - 1977;51582;46570;5012;36729;31946;4783;71,2
ST;w;1968 - 1972;71365;63163;8203;53726;45897;7829;75,3
ST;w;1958 - 1967;194902;166572;28330;142864;115825;27039;73,3
ST;w;1948 - 1957;174584;146830;27753;129461;102972;26489;74,2
ST;w;1947 und früher;261170;219899;41270;158650;119260;39391;60,7
TH;Summe;Summe;1767014;1493262;273752;1312052;1049197;262855;74,3
TH;Summe;1997 - 1999;43200;38407;4794;28534;23931;4603;66,0
TH;Summe;1993 - 1996;55081;45832;9249;36488;27608;8881;66,2
TH;Summe;1988 - 1992;107885;92247;15638;73946;58931;15016;68,5
TH;Summe;1983 - 1987;129985;113525;16459;92134;76329;15804;70,9
TH;Summe;1978 - 1982;127491;112579;14912;94214;79895;14318;73,9
TH;Summe;1973 - 1977;109895;97485;12411;83756;71839;11917;76,2
TH;Summe;1968 - 1972;139521;122213;17307;107059;90440;16619;76,7
TH;Summe;1958 - 1967;344970;293392;51578;265708;216184;49525;77,0
TH;Summe;1948 - 1957;310956;254601;56355;246459;192347;54112;79,3
TH;Summe;1947 und früher;398031;322982;75049;283755;211694;72061;71,3
TH;m;Summe;855969;731952;124017;638480;519399;119081;74,6
TH;m;1997 - 1999;22541;20271;2270;15014;12835;2179;66,6
TH;m;1993 - 1996;27912;23715;4196;18042;14012;4029;64,6
TH;m;1988 - 1992;56973;48933;8040;38611;30891;7720;67,8
TH;m;1983 - 1987;66935;58825;8110;46681;38894;7787;69,7
TH;m;1978 - 1982;66563;59351;7213;47928;41003;6925;72,0
TH;m;1973 - 1977;57851;51455;6396;43396;37255;6141;75,0
TH;m;1968 - 1972;72303;63947;8357;54407;46383;8024;75,2
TH;m;1958 - 1967;172230;148707;23523;132170;109584;22586;76,7
TH;m;1948 - 1957;151002;125578;25425;119577;95164;24413;79,2
TH;m;1947 und früher;161659;131170;30489;122654;93378;29275;75,9
TH;w;Summe;911045;761310;149735;673572;529798;143774;73,9
TH;w;1997 - 1999;20659;18135;2524;13519;11096;2424;65,4
TH;w;1993 - 1996;27169;22117;5053;18447;13595;4851;67,9
TH;w;1988 - 1992;50912;43314;7598;35336;28040;7296;69,4
TH;w;1983 - 1987;63050;54701;8350;45452;37435;8017;72,1
TH;w;1978 - 1982;60928;53228;7700;46286;38892;7393;76,0
TH;w;1973 - 1977;52044;46030;6015;40359;34584;5775;77,5
TH;w;1968 - 1972;67218;58267;8951;52652;44057;8595;78,3
TH;w;1958 - 1967;172740;144685;28055;133538;106600;26938;77,3
TH;w;1948 - 1957;159954;129023;30930;126882;97182;29699;79,3
TH;w;1947 und früher;236371;191812;44560;161102;118316;42786;68,2
