# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien vom amtlichen Endergebnis geringfügig ab.;;;;;;;;;;;;;;;
# Für das Bundesgebiet wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus den Länderergebnissen weichen daher geringfügig vom entsprechenden Bundesergebnis ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;Sonstige;dar. NPD;dar. FREIE WÄHLER
NW;2;Summe;1983 - 1992;1242170;6485;316640;274881;121393;121646;;178332;121984;100808;6196;6348
NW;2;Summe;1973 - 1982;1271863;6777;378694;253673;102662;114969;;184634;153010;77445;5753;5825
NW;2;Summe;1958 - 1972;2978241;19453;882581;767743;234212;267455;;370088;341748;94961;5226;8664
NW;2;Summe;1948 - 1957;1593807;14614;517656;466589;133707;90141;;198562;150088;22450;1168;2702
NW;2;Summe;1947 und früher;2099011;32634;934392;629249;76673;59016;;239672;114329;13046;899;2022
NW;2;m;Summe;4767909;35300;1363832;1234028;385341;301542;;676581;584276;187010;13928;14381
NW;2;m;1993 - 1999;377355;2754;80718;82452;33418;33245;;77967;30543;36258;1657;1172
NW;2;m;1983 - 1992;609108;3259;134722;128870;64823;46505;;101974;76055;52900;3632;3384
NW;2;m;1973 - 1982;620880;3009;163271;119942;54084;46270;;98404;95090;40809;4095;3003
NW;2;m;1958 - 1972;1484508;8782;400478;388190;121273;111732;;191432;219438;43183;3390;4840
NW;2;m;1948 - 1957;772523;5753;221589;234754;71419;39807;;96399;93717;9085;785;1290
NW;2;m;1947 und früher;903534;11743;363053;279821;40323;23983;;110404;69433;4774;369;692
NW;2;w;Summe;5170552;49784;1850181;1323848;351563;443428;;616471;344149;191127;7800;13497
NW;2;w;1993 - 1999;376013;2367;103332;83289;34839;58497;;43797;16722;33169;829;1145
NW;2;w;1983 - 1992;633062;3226;181918;146011;56571;75141;;76358;45930;47908;2564;2964
NW;2;w;1973 - 1982;650984;3767;215422;133731;48578;68700;;86229;57920;36636;1658;2822
NW;2;w;1958 - 1972;1493733;10671;482103;379553;112938;155723;;178656;122310;51778;1836;3824
NW;2;w;1948 - 1957;821284;8862;296067;231835;62287;50334;;102163;56371;13365;383;1412
NW;2;w;1947 und früher;1195477;20891;571339;349428;36351;35033;;129268;44896;8271;530;1330
HE;1;Summe;Summe;3395441;50889;1185393;974954;220145;270221;;238437;375528;79874;4423;48199
HE;1;Summe;1993 - 1999;257069;3884;71339;74482;22993;36792;;21099;16786;9693;478;3929
HE;1;Summe;1983 - 1992;416054;6221;124047;112242;36576;43232;;31558;46207;15971;1065;7535
HE;1;Summe;1973 - 1982;433060;5752;145130;106770;30541;39549;;29858;59906;15554;855;9373
HE;1;Summe;1958 - 1972;1027276;13578;328196;286470;72192;97967;;68542;134765;25566;1250;17575
HE;1;Summe;1948 - 1957;561085;8994;188066;180656;38888;33241;;38422;64283;8535;416;6213
HE;1;Summe;1947 und früher;700897;12460;328614;214334;18955;19439;;48959;53581;4555;360;3573
HE;1;m;Summe;1645169;22302;540868;473081;112896;102951;;117437;233024;42610;2755;23780
HE;1;m;1993 - 1999;129588;2130;36264;36310;12132;14367;;12948;10294;5143;277;1986
HE;1;m;1983 - 1992;208464;2796;58206;54146;19351;16994;;18583;29146;9241;659;3963
HE;1;m;1973 - 1982;212563;2455;68878;49581;16036;14682;;14738;37841;8352;480;4757
HE;1;m;1958 - 1972;508421;6101;155749;143250;35404;37086;;32514;84438;13877;885;8898
HE;1;m;1948 - 1957;273279;4100;84441;90206;20116;13080;;17662;39599;4075;225;2841
HE;1;m;1947 und früher;312855;4721;137330;99588;9858;6740;;20990;31705;1923;230;1336
HE;1;w;Summe;1750272;28587;644525;501873;107249;167270;;121000;142504;37264;1668;24419
HE;1;w;1993 - 1999;127481;1754;35075;38173;10862;22426;;8151;6492;4550;201;1943
HE;1;w;1983 - 1992;207590;3426;65841;58095;17225;26238;;12975;17061;6730;406;3571
HE;1;w;1973 - 1982;220497;3297;76253;57189;14506;24867;;15119;22064;7202;375;4617
HE;1;w;1958 - 1972;518856;7477;172447;143220;36788;60881;;36028;50327;11689;365;8678
HE;1;w;1948 - 1957;287806;4895;103625;90450;18772;20160;;20760;24684;4461;192;3372
HE;1;w;1947 und früher;388042;7739;191285;114746;9098;12699;;27968;21875;2632;130;2237
HE;2;Summe;Summe;3395441;46541;1033200;788427;271158;323736;;386742;398712;146925;11904;28507
HE;2;Summe;1993 - 1999;257069;2742;57969;52525;27670;40399;;32789;18320;24656;1012;1920
HE;2;Summe;1983 - 1992;416054;4602;105620;81108;42929;47677;;49281;48408;36428;3515;5177
HE;2;Summe;1973 - 1982;433060;4928;125386;78801;36517;48349;;49754;62297;27028;3286;5717
HE;2;Summe;1958 - 1972;1027276;11313;286231;229258;88840;118668;;111465;141518;39984;2766;9430
HE;2;Summe;1948 - 1957;561085;8168;165351;150379;49709;43244;;62245;69676;12314;724;4149
HE;2;Summe;1947 und früher;700897;14789;292643;196356;25493;25398;;81208;58493;6515;600;2113
HE;2;m;Summe;1645169;19144;440899;381344;139815;132518;;209860;250540;71047;7530;12279
HE;2;m;1993 - 1999;129588;1456;26626;25853;14579;16518;;20746;11130;12679;529;973
HE;2;m;1983 - 1992;208464;2014;45565;39234;21666;19608;;30687;30874;18815;2143;1947
HE;2;m;1973 - 1982;212563;2075;55387;35880;18803;19279;;27911;38909;14319;2198;2636
HE;2;m;1958 - 1972;508421;4642;127305;116167;44230;48316;;59947;90047;17767;1765;4368
HE;2;m;1948 - 1957;273279;3100;68878;74644;26533;18855;;32052;43948;5269;487;1704
HE;2;m;1947 und früher;312855;5858;117139;89566;14003;9941;;38518;35632;2198;407;651
HE;2;w;Summe;1750272;27397;592301;407083;131343;191218;;176882;148172;75878;4374;16228
HE;2;w;1993 - 1999;127481;1285;31342;26672;13090;23881;;12043;7190;11977;484;947
HE;2;w;1983 - 1992;207590;2589;60054;41874;21263;28069;;18594;17534;17613;1372;3230
HE;2;w;1973 - 1982;220497;2852;70000;42921;17714;29070;;21843;23388;12709;1088;3081
HE;2;w;1958 - 1972;518856;6671;158927;113091;44609;70352;;51517;51471;22217;1000;5062
HE;2;w;1948 - 1957;287806;5068;96473;75735;23176;24388;;30193;25728;7044;237;2445
HE;2;w;1947 und früher;388042;8931;175505;106790;11490;15457;;42691;22861;4318;193;1462
RP;1;Summe;Summe;2392093;36513;932382;676438;133323;140906;;161479;223659;87393;1031;62699
RP;1;Summe;1993 - 1999;186551;2323;58982;56391;12704;20137;;16324;10726;8965;19;4347
RP;1;Summe;1983 - 1992;285898;3462;99671;71535;21051;22944;;21998;29237;16000;91;10194
RP;1;Summe;1973 - 1982;307041;3378;114897;74081;18426;19695;;22930;36853;16781;464;11620
RP;1;Summe;1958 - 1972;722486;9486;254665;202242;44924;51245;;48764;81036;30123;280;24025
RP;1;Summe;1948 - 1957;418386;7381;165956;128056;24173;17473;;26229;39636;9483;29;7753
RP;1;Summe;1947 und früher;471730;10484;238211;144133;12045;9412;;25234;26171;6040;149;4760
RP;1;m;Summe;1177871;17497;424370;341160;69868;55518;;82401;142367;44691;552;30747
RP;1;m;1993 - 1999;96542;1015;29221;29754;6780;7621;;9948;6819;5385;13;2237
RP;1;m;1983 - 1992;142427;1679;46283;36420;10318;9336;;12560;17704;8128;41;4656
RP;1;m;1973 - 1982;150437;1706;52381;34851;8893;8029;;12037;23575;8964;187;5940
RP;1;m;1958 - 1972;364539;4741;121314;104880;23365;19357;;23519;52339;15025;205;11970
RP;1;m;1948 - 1957;209253;4023;75294;67092;13675;7275;;12442;24931;4521;29;3723
RP;1;m;1947 und früher;214673;4333;99877;68163;6837;3900;;11895;16999;2668;77;2222
RP;1;w;Summe;1214222;19016;508012;335278;63455;85388;;79078;81292;42702;480;31952
RP;1;w;1993 - 1999;90009;1309;29761;26637;5924;12516;;6376;3907;3580;6;2110
RP;1;w;1983 - 1992;143471;1783;53388;35115;10733;13608;;9438;11533;7873;50;5538
RP;1;w;1973 - 1982;156605;1672;62516;39230;9533;11666;;10893;13278;7817;277;5680
RP;1;w;1958 - 1972;357946;4745;133351;97362;21559;31888;;25246;28697;15098;75;12055
RP;1;w;1948 - 1957;209134;3357;90662;60964;10498;10198;;13787;14705;4962;0;4030
RP;1;w;1947 und früher;257058;6150;138334;75970;5208;5513;;13339;9172;3372;72;2539
RP;2;Summe;Summe;2392093;29587;848003;570518;160912;179233;;245235;265688;92917;7685;33090
RP;2;Summe;1993 - 1999;186551;1812;51518;40097;16719;26418;;24723;13593;11671;718;2521
RP;2;Summe;1983 - 1992;285898;3063;86771;55140;24842;26898;;34786;35169;19230;1656;5467
RP;2;Summe;1973 - 1982;307041;3066;103461;58298;21121;25612;;34588;43857;17038;2401;5306
RP;2;Summe;1958 - 1972;722486;6678;233551;165354;55607;65888;;71320;95039;29049;2128;12796
RP;2;Summe;1948 - 1957;418386;5323;150695;115077;28410;22378;;39659;46708;10137;573;4397
RP;2;Summe;1947 und früher;471730;9644;222006;136552;14212;12039;;40160;31322;5793;209;2603
RP;2;m;Summe;1177871;13398;368984;284399;86235;74824;;133790;167862;48380;4761;15308
RP;2;m;1993 - 1999;96542;825;24119;20900;8698;10516;;16202;8735;6548;418;1209
RP;2;m;1983 - 1992;142427;1451;36246;27912;12952;10692;;21031;21722;10420;928;2786
RP;2;m;1973 - 1982;150437;1414;44831;27684;10074;10544;;18922;27714;9254;1393;2777
RP;2;m;1958 - 1972;364539;3040;106614;85366;29708;27953;;37410;59846;14602;1486;5658
RP;2;m;1948 - 1957;209253;2454;66479;59126;16278;10381;;20368;29135;5033;424;1828
RP;2;m;1947 und früher;214673;4214;90696;63412;8524;4738;;19857;20710;2522;112;1051
RP;2;w;Summe;1214222;16189;479019;286119;74677;104409;;111445;97826;44537;2924;17781
RP;2;w;1993 - 1999;90009;987;27400;19197;8022;15902;;8521;4858;5122;300;1312
RP;2;w;1983 - 1992;143471;1612;50525;27228;11889;16206;;13754;13447;8810;728;2681
RP;2;w;1973 - 1982;156605;1653;58631;30614;11047;15068;;15666;16143;7783;1008;2529
RP;2;w;1958 - 1972;357946;3638;126937;79989;25898;37935;;33910;35192;14447;642;7138
RP;2;w;1948 - 1957;209134;2869;84216;55952;12132;11997;;19291;17573;5103;149;2569
RP;2;w;1947 und früher;257058;5431;131311;73140;5688;7301;;20304;10612;3271;98;1553
BW;1;Summe;Summe;6053943;70712;2350054;1166668;325019;801880;;517512;690128;131970;2056;33732
BW;1;Summe;1993 - 1999;483713;4295;156857;94569;35853;89183;;48726;34936;19294;421;2381
BW;1;Summe;1983 - 1992;838597;6551;296177;152168;61428;123399;;75468;90058;33348;428;6358
BW;1;Summe;1973 - 1982;806878;6542;298674;127394;47084;118744;;71177;112914;24349;362;6314
BW;1;Summe;1958 - 1972;1806768;18658;631149;338436;102396;287519;;144338;246471;37802;551;12379
BW;1;Summe;1948 - 1957;931402;12824;358024;205634;49711;102694;;76509;115783;10224;158;3902
BW;1;Summe;1947 und früher;1186585;21841;609172;248467;28548;80341;;101295;89967;6954;136;2397
BW;1;m;Summe;2966270;33611;1080726;582201;171684;330919;;264222;435588;67319;1108;16905
BW;1;m;1993 - 1999;248017;2306;78803;48220;18485;35340;;30061;23597;11206;316;1185
BW;1;m;1983 - 1992;421270;3216;141200;74338;34279;50705;;43822;56536;17175;240;2987
BW;1;m;1973 - 1982;404698;3363;142367;60500;25091;50059;;37387;73026;12906;173;3325
BW;1;m;1958 - 1972;906292;9205;305877;171702;51922;121174;;69628;158246;18536;275;6657
BW;1;m;1948 - 1957;456239;6842;161208;107463;26693;42781;;36317;70107;4829;26;1902
BW;1;m;1947 und früher;529753;8680;251271;119978;15214;30860;;47006;54076;2667;78;849
BW;1;w;Summe;3087673;37101;1269328;584467;153335;470961;;253290;254540;64651;948;16827
BW;1;w;1993 - 1999;235696;1990;78055;46349;17368;53843;;18665;11339;8088;104;1196
BW;1;w;1983 - 1992;417326;3335;154977;77830;27149;72695;;31645;33522;16173;188;3371
BW;1;w;1973 - 1982;402180;3180;156307;66894;21993;68685;;33789;39888;11443;190;2989
BW;1;w;1958 - 1972;900477;9453;325272;166733;50474;166344;;74710;88225;19266;276;5722
BW;1;w;1948 - 1957;475163;5983;196816;98170;23017;59914;;40192;45675;5395;132;2000
BW;1;w;1947 und früher;656831;13161;357901;128490;13334;49480;;54289;35891;4286;58;1548
BW;2;Summe;Summe;6053943;60975;2061687;982370;380727;807205;;762008;730499;268472;15745;42133
BW;2;Summe;1993 - 1999;483713;2663;127249;75853;40553;82996;;72187;37760;44453;2054;2911
BW;2;Summe;1983 - 1992;838597;3900;249942;117839;70234;113291;;112009;97937;73444;4352;9749
BW;2;Summe;1973 - 1982;806878;5403;253554;101094;54348;121513;;104482;116812;49671;3783;8696
BW;2;Summe;1958 - 1972;1806768;13645;568807;284685;117903;285081;;206172;259329;71145;3654;14109
BW;2;Summe;1948 - 1957;931402;11051;315121;176615;61452;112988;;115491;120870;17814;1009;3861
BW;2;Summe;1947 und früher;1186585;24313;547014;226284;36236;91336;;151668;97790;11945;893;2808
BW;2;m;Summe;2966270;27203;894008;489391;203996;339782;;421679;464643;125567;10106;19772
BW;2;m;1993 - 1999;248017;1685;58152;38257;20517;34681;;47022;24692;23011;1272;1513
BW;2;m;1983 - 1992;421270;1776;110131;57163;38613;47527;;67499;62183;36378;2610;4367
BW;2;m;1973 - 1982;404698;2774;115036;47737;28873;50635;;59290;76218;24135;2574;4111
BW;2;m;1958 - 1972;906292;6294;258954;144917;61875;123218;;112458;167403;31172;2382;7189
BW;2;m;1948 - 1957;456239;5440;135918;92166;33876;48152;;59451;74409;6826;684;1822
BW;2;m;1947 und früher;529753;9234;215816;109150;20242;35569;;75959;59738;4044;586;770
BW;2;w;Summe;3087673;33772;1167679;492979;176731;467423;;340329;265856;142905;5639;22361
BW;2;w;1993 - 1999;235696;979;69097;37595;20036;48315;;25165;13068;21442;783;1398
BW;2;w;1983 - 1992;417326;2125;139811;60676;31621;65764;;44509;35754;37066;1743;5382
BW;2;w;1973 - 1982;402180;2629;138518;53357;25475;70878;;45191;40594;25536;1210;4586
BW;2;w;1958 - 1972;900477;7350;309853;139769;56028;161864;;93714;91926;39973;1272;6920
BW;2;w;1948 - 1957;475163;5611;179203;84449;27576;64835;;56040;46461;10988;325;2038
BW;2;w;1947 und früher;656831;15079;331198;117133;15993;55767;;75708;38052;7900;307;2037
BY;1;Summe;Summe;7441006;69317;;1336404;384368;661356;3255487;477884;773542;482648;583;250119
BY;1;Summe;1993 - 1999;586135;4954;;101176;45273;80446;220817;46372;39441;47655;0;22082
BY;1;Summe;1983 - 1992;990694;5957;;159546;69805;112938;383893;70009;103450;85096;292;43834
BY;1;Summe;1973 - 1982;1019638;6801;;147555;56021;108906;426643;66282;124047;83382;48;43381
BY;1;Summe;1958 - 1972;2205078;16538;;387782;118600;231156;874512;129906;278647;167936;184;86100
BY;1;Summe;1948 - 1957;1167998;12089;;241725;60135;77151;519131;74304;126278;57186;0;31217
BY;1;Summe;1947 und früher;1471463;22977;;298620;34532;50760;830491;91011;101679;41393;59;23505
BY;1;m;Summe;3631368;34009;;659073;197182;267836;1518308;241864;484653;228443;345;117405
BY;1;m;1993 - 1999;293330;3040;;49817;22677;32621;109349;27012;24619;24195;0;11085
BY;1;m;1983 - 1992;498716;3080;;78086;37564;43972;187929;39510;66815;41760;238;20961
BY;1;m;1973 - 1982;511247;3479;;70963;29414;44359;207842;35064;80333;39792;48;20155
BY;1;m;1958 - 1972;1096921;8683;;193455;58059;93328;427829;64078;175729;75760;0;39290
BY;1;m;1948 - 1957;573716;5769;;124362;31167;33147;237749;35500;77883;28139;0;15278
BY;1;m;1947 und früher;657438;9958;;142390;18302;20409;347610;40699;59274;18795;59;10637
BY;1;w;Summe;3809638;35308;;677331;187186;393520;1737179;236020;288889;254205;238;132714
BY;1;w;1993 - 1999;292805;1914;;51359;22597;47825;111468;19360;14822;23459;0;10997
BY;1;w;1983 - 1992;491978;2877;;81460;32242;68965;195964;30499;36635;43336;54;22873
BY;1;w;1973 - 1982;508391;3322;;76592;26607;64546;218801;31218;43713;43590;0;23226
BY;1;w;1958 - 1972;1108157;7856;;194327;60542;137828;446683;65828;102918;92176;184;46810
BY;1;w;1948 - 1957;594282;6320;;117364;28968;44004;281381;38803;48395;29047;0;15939
BY;1;w;1947 und früher;814025;13020;;156229;16230;30350;482881;50312;42405;22598;0;12869
BY;2;Summe;Summe;7441006;47796;;1130931;450803;722116;2869688;751248;916300;552124;20611;199198
BY;2;Summe;1993 - 1999;586135;2302;;75666;48415;89745;172236;70452;50908;76411;2369;15667
BY;2;Summe;1983 - 1992;990694;2623;;119036;78504;119175;321980;107712;123380;118284;5850;32945
BY;2;Summe;1973 - 1982;1019638;3863;;111773;64480;123334;363698;111122;147302;94065;4285;32612
BY;2;Summe;1958 - 1972;2205078;10504;;326706;139671;251050;775830;208864;327727;164725;5715;67486
BY;2;Summe;1948 - 1957;1167998;8092;;214605;75880;83129;463866;116441;150159;55827;1446;27675
BY;2;Summe;1947 und früher;1471463;20412;;283144;43853;55683;772079;136657;116824;42812;945;22812
BY;2;m;Summe;3631368;22224;;555113;236429;296841;1281169;406220;579369;254003;14068;89145
BY;2;m;1993 - 1999;293330;1498;;37285;24929;36210;79830;43060;32066;38452;1549;7315
BY;2;m;1983 - 1992;498716;1467;;56861;42455;46234;146760;65400;80098;59440;4033;14317
BY;2;m;1973 - 1982;511247;2243;;52887;33558;51925;166043;63608;95693;45291;3008;15421
BY;2;m;1958 - 1972;1096921;5076;;164997;70501;104603;365034;110185;207657;68868;3705;29253
BY;2;m;1948 - 1957;573716;3621;;110056;40446;36076;207183;58308;93789;24237;1015;12413
BY;2;m;1947 und früher;657438;8320;;133026;24540;21792;316319;65658;70066;17715;758;10425
BY;2;w;Summe;3809638;25572;;575818;214374;425275;1588519;345028;336931;298121;6543;110053
BY;2;w;1993 - 1999;292805;804;;38381;23486;53534;92406;27392;18842;37958;820;8352
BY;2;w;1983 - 1992;491978;1156;;62175;36049;72941;175220;42311;43282;58843;1818;18628
BY;2;w;1973 - 1982;508391;1620;;58886;30922;71409;197655;47515;51610;48775;1278;17190
BY;2;w;1958 - 1972;1108157;5428;;161709;69170;146447;410796;98679;120070;95858;2010;38233
BY;2;w;1948 - 1957;594282;4471;;104549;35434;47052;256682;58133;56370;31590;431;15262
BY;2;w;1947 und früher;814025;12092;;150118;19312;33891;455760;70999;46757;25097;187;12387
SL;1;Summe;Summe;595411;8512;211271;188580;64996;25965;;28198;53534;14355;655;1379
SL;1;Summe;1993 - 1999;40972;807;10985;13160;4537;4032;;2966;2254;2231;35;86
SL;1;Summe;1983 - 1992;66391;1061;19451;21031;7990;3403;;3672;6604;3178;174;318
SL;1;Summe;1973 - 1982;70019;852;22249;19913;8095;2847;;3795;9490;2778;13;331
SL;1;Summe;1958 - 1972;176553;1615;54414;58001;21038;10400;;7373;19869;3843;305;353
SL;1;Summe;1948 - 1957;110752;1293;41293;35905;13748;3008;;4870;8978;1656;120;258
SL;1;Summe;1947 und früher;130725;2885;62879;40570;9588;2274;;5521;6339;669;8;33
SL;1;m;Summe;290871;4261;95311;91640;34423;9895;;14367;33491;7484;525;479
SL;1;m;1993 - 1999;21678;370;5671;6615;2544;2223;;1843;1172;1239;26;11
SL;1;m;1983 - 1992;33470;685;8852;9907;4601;1202;;2182;4333;1707;117;196
SL;1;m;1973 - 1982;34406;423;10743;8881;4030;953;;1999;5810;1567;4;82
SL;1;m;1958 - 1972;88507;703;25993;29985;11003;3513;;3408;12190;1712;263;45
SL;1;m;1948 - 1957;54036;569;18236;17843;7367;1292;;2286;5520;922;110;131
SL;1;m;1947 und früher;58775;1511;25816;18409;4878;711;;2648;4464;337;6;14
SL;1;w;Summe;304540;4251;115960;96940;30573;16071;;13832;20042;6871;130;900
SL;1;w;1993 - 1999;19294;436;5313;6546;1993;1809;;1123;1082;992;9;75
SL;1;w;1983 - 1992;32921;376;10600;11124;3389;2201;;1490;2271;1471;57;122
SL;1;w;1973 - 1982;35612;429;11506;11032;4064;1894;;1796;3679;1211;9;248
SL;1;w;1958 - 1972;88046;912;28421;28016;10036;6888;;3964;7678;2131;43;308
SL;1;w;1948 - 1957;56716;724;23057;18062;6381;1716;;2584;3457;734;11;127
SL;1;w;1947 und früher;71949;1374;37063;22161;4710;1563;;2873;1874;331;2;19
SL;2;Summe;Summe;595411;10153;189573;158895;75448;35117;;44477;58920;22828;3382;4014
SL;2;Summe;1993 - 1999;40972;1018;8876;9363;5420;5093;;4379;2799;4024;213;332
SL;2;Summe;1983 - 1992;66391;978;16916;15981;8231;4431;;6596;6969;6291;950;753
SL;2;Summe;1973 - 1982;70019;931;19331;15625;9281;4780;;5412;10482;4177;913;863
SL;2;Summe;1958 - 1972;176553;1875;48593;48854;24494;13618;;12513;21255;5350;904;1171
SL;2;Summe;1948 - 1957;110752;1749;36854;31109;16456;4549;;7657;10285;2093;277;689
SL;2;Summe;1947 und früher;130725;3603;59004;37964;11566;2646;;7919;7130;894;125;207
SL;2;m;Summe;290871;4475;81721;77128;38946;14495;;23674;37686;12745;2195;1955
SL;2;m;1993 - 1999;21678;298;4277;4882;2946;2556;;2611;1555;2552;195;143
SL;2;m;1983 - 1992;33470;614;7021;7822;4530;1371;;3764;4730;3619;526;471
SL;2;m;1973 - 1982;34406;328;8380;7140;4586;2026;;2964;6584;2399;555;479
SL;2;m;1958 - 1972;88507;674;22653;24661;12755;5501;;6446;13224;2594;630;323
SL;2;m;1948 - 1957;54036;764;15571;15562;8332;2068;;4059;6540;1139;242;419
SL;2;m;1947 und früher;58775;1799;23819;17062;5798;974;;3830;5053;442;47;120
SL;2;w;Summe;304540;5678;107852;81767;36502;20622;;20803;21234;10083;1187;2059
SL;2;w;1993 - 1999;19294;720;4599;4481;2474;2538;;1768;1244;1472;18;190
SL;2;w;1983 - 1992;32921;364;9895;8159;3701;3060;;2832;2239;2672;424;282
SL;2;w;1973 - 1982;35612;603;10951;8484;4695;2754;;2449;3899;1778;357;384
SL;2;w;1958 - 1972;88046;1202;25940;24193;11739;8118;;6068;8031;2756;274;848
SL;2;w;1948 - 1957;56716;986;21282;15546;8124;2480;;3598;3745;954;35;269
SL;2;w;1947 und früher;71949;1804;35185;20902;5769;1672;;4089;2077;452;78;86
BE;1;Summe;Summe;1892134;26660;460296;391772;377564;230935;;105053;212211;87643;1597;6338
BE;1;Summe;1993 - 1999;111638;1687;19615;23355;24095;19841;;7026;6488;9532;113;148
BE;1;Summe;1983 - 1992;311546;3574;55188;59470;69925;56220;;14324;25898;26947;458;1542
BE;1;Summe;1973 - 1982;289406;2879;58557;55455;56483;50349;;14700;31070;19913;271;1091
BE;1;Summe;1958 - 1972;528983;6934;118978;101991;97870;71360;;29141;80980;21730;438;2031
BE;1;Summe;1948 - 1957;270200;4727;68373;58809;60473;21234;;15427;35005;6152;243;978
BE;1;Summe;1947 und früher;380361;6860;139585;92692;68718;11931;;24435;32770;3370;74;549
BE;1;m;Summe;902264;12642;202610;186014;179341;96051;;50392;129543;45671;1011;2807
BE;1;m;1993 - 1999;54194;1039;9218;11998;11275;7751;;3924;3882;5107;113;35
BE;1;m;1983 - 1992;148986;1824;25428;28413;33640;22930;;7577;15319;13855;290;597
BE;1;m;1973 - 1982;144965;1670;28002;27278;28746;20798;;7455;19294;11721;214;739
BE;1;m;1958 - 1972;266004;3163;56215;51516;47408;31817;;14104;51330;10450;133;706
BE;1;m;1948 - 1957;126404;2312;29322;27208;28053;8400;;7116;20890;3102;219;579
BE;1;m;1947 und früher;161711;2635;54425;39600;30219;4355;;10215;18828;1434;42;149
BE;1;w;Summe;989870;14018;257686;205758;198223;134884;;54661;82668;41972;587;3531
BE;1;w;1993 - 1999;57444;648;10397;11356;12820;12090;;3102;2607;4425;0;112
BE;1;w;1983 - 1992;162560;1750;29760;31057;36285;33290;;6747;10579;13092;168;944
BE;1;w;1973 - 1982;144441;1210;30555;28177;27737;29551;;7245;11776;8191;57;352
BE;1;w;1958 - 1972;262979;3771;62763;50475;50462;39543;;15037;29649;11279;305;1325
BE;1;w;1948 - 1957;143796;2415;39051;31601;32420;12834;;8311;14115;3049;24;398
BE;1;w;1947 und früher;218650;4224;85160;53092;38499;7577;;14221;13942;1935;32;400
BE;2;Summe;Summe;1892134;23092;424321;334253;351170;234947;;167046;225170;132135;;6404
BE;2;Summe;1993 - 1999;111638;1435;16501;18289;22452;19200;;10198;7645;15918;;480
BE;2;Summe;1983 - 1992;311546;2927;51958;47167;67182;53381;;23653;27126;38153;;1457
BE;2;Summe;1973 - 1982;289406;2435;58252;44429;51447;49789;;23561;32945;26547;;963
BE;2;Summe;1958 - 1972;528983;5613;111308;84349;89867;73571;;46202;84069;34006;;1880
BE;2;Summe;1948 - 1957;270200;4056;62143;51886;56136;23901;;23985;37807;10285;;1112
BE;2;Summe;1947 und früher;380361;6626;124159;88132;64087;15104;;39447;35579;7227;;511
BE;2;m;Summe;902264;10060;177659;160267;169723;101689;;86314;138793;57759;;3067
BE;2;m;1993 - 1999;54194;872;7329;9678;10291;7718;;6313;4528;7465;;207
BE;2;m;1983 - 1992;148986;1549;22005;22837;33020;21968;;13359;16227;18021;;751
BE;2;m;1973 - 1982;144965;1253;25918;22527;27318;21639;;13169;20451;12692;;584
BE;2;m;1958 - 1972;266004;2553;50432;42271;44271;34010;;24863;53919;13686;;889
BE;2;m;1948 - 1957;126404;1644;25259;24448;26628;10185;;11401;22956;3885;;559
BE;2;m;1947 und früher;161711;2190;46716;38508;28196;6170;;17210;20712;2009;;7,70E+01
BE;2;w;Summe;989870;13032;246662;173986;181447;133258;;80732;86377;74376;;3337
BE;2;w;1993 - 1999;57444;562;9172;8612;12161;11482;;3886;3117;8452;;274
BE;2;w;1983 - 1992;162560;1379;29952;24330;34161;31412;;10294;10899;20132;;706
BE;2;w;1973 - 1982;144441;1182;32334;21903;24129;28151;;10392;12494;13855;;379
BE;2;w;1958 - 1972;262979;3061;60876;42078;45596;39561;;21338;30150;20320;;991
BE;2;w;1948 - 1957;143796;2412;36884;27439;29508;13717;;12584;14852;6399;;553
BE;2;w;1947 und früher;218650;4435;77444;49625;35891;8934;;22237;14866;5218;;434
BE-O;1;Summe;Summe;792630;9874;149787;116771;253797;80065;;30882;108787;42667;1256;5976
BE-O;1;Summe;1993 - 1999;39525;689;5665;6233;11600;6307;;2474;2835;3723;113;148
BE-O;1;Summe;1983 - 1992;142279;1445;23821;20840;37468;23300;;5911;15306;14187;438;1487
BE-O;1;Summe;1973 - 1982;138057;1141;23650;19811;36583;21810;;6118;18912;10032;271;1065
BE-O;1;Summe;1958 - 1972;220982;2267;42008;28944;65431;21638;;8869;41490;10335;292;1853
BE-O;1;Summe;1948 - 1957;107989;1753;21998;13843;43454;3860;;3481;16735;2865;68;955
